AssetID,Day of DateOccurred,ProblemTypeName
1FF98D24-BCDA-E111-AD34-0025B500016E,"November 13, 2014",Output Quality
1FF98D24-BCDA-E111-AD34-0025B500016E,"December 1, 2014",Output Quality
1FF98D24-BCDA-E111-AD34-0025B500016E,"December 8, 2014",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"December 19, 2014",Consumable Issue
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 8, 2015",Consumable Issue
1FF98D24-BCDA-E111-AD34-0025B500016E,"April 13, 2015",Damage
1FF98D24-BCDA-E111-AD34-0025B500016E,"May 6, 2015",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"May 18, 2015",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"July 7, 2015",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"September 3, 2015",Output Quality
1FF98D24-BCDA-E111-AD34-0025B500016E,"September 17, 2015",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"September 29, 2015",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 1, 2015",Output Quality
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 7, 2015",Output Quality
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 8, 2015",Paper Jam
1FF98D24-BCDA-E111-AD34-0025B500016E,"October 30, 2015",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 8, 2016",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 13, 2016",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 15, 2016",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"January 25, 2016",Device Fault
1FF98D24-BCDA-E111-AD34-0025B500016E,"March 4, 2016",Device Fault
2B429E43-0EF8-E111-AEC9-0025B500016E,,
2B474B03-2404-E211-AEC9-0025B500016E,"December 17, 2012",Device Offline
2B474B03-2404-E211-AEC9-0025B500016E,"January 14, 2013",Paper Jam
2B474B03-2404-E211-AEC9-0025B500016E,"August 16, 2013",Consumable Issue
2B474B03-2404-E211-AEC9-0025B500016E,"October 11, 2013",Paper Jam
2B474B03-2404-E211-AEC9-0025B500016E,"January 22, 2014",Device Offline
2B474B03-2404-E211-AEC9-0025B500016E,"March 28, 2014",Paper Jam
2B474B03-2404-E211-AEC9-0025B500016E,"September 9, 2014",Device Fault
2B474B03-2404-E211-AEC9-0025B500016E,"September 17, 2014",Consumable Issue
2B474B03-2404-E211-AEC9-0025B500016E,"October 9, 2014",Accessory Issue
